VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Afghanistan,2020,47,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Albania,2020,95.2,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Algeria,2020,81.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Andorra,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Angola,2020,28.2,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Antigua and Barbuda,2020,97.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Argentina,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Armenia,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Australia,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Austria,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Azerbaijan,2020,77.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Bahamas,2020,98.4,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Bahrain,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Bangladesh,2020,87,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Barbados,2020,99.7,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Belarus,2020,99.1,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Belgium,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Belize,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Benin,2020,72.1,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Bhutan,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Bolivia (Plurinational State of),2020,75.6,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Bosnia and Herzegovina,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Botswana,2020,92.3,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Brazil,2020,87,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Bulgaria,2020,99,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Burkina Faso,2020,75.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Burundi,2020,73.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Cabo Verde,2020,87.3,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Cambodia,2020,69.1,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Cameroon,2020,52.7,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Canada,2020,99,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Central African Republic,2020,54.4,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Chad,2020,44.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Chile,2020,93.3,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),China,2020,93,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Colombia,2020,73.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Comoros,2020,89.1,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Congo,2020,40,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Cook Islands,2020,99.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Costa Rica,2020,91.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Croatia,2020,99.7,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Cuba,2020,89.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Cyprus,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Czechia,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Côte d'Ivoire,2020,68.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Democratic People's Republic of Korea,2020,99.4,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Democratic Republic of the Congo,2020,31.2,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Denmark,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Djibouti,2020,64.7,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Dominica,2020,91.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Dominican Republic,2020,81.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Ecuador,2020,75.5,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Egypt,2020,99,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),El Salvador,2020,86.5,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Equatorial Guinea,2020,31.5,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Eritrea,2020,53.3,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Estonia,2020,99,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Eswatini,2020,68.9,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Ethiopia,2020,48.6,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Fiji,2020,91.2,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Finland,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),France,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Gabon,2020,66.7,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Gambia,2020,84.4,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Georgia,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Germany,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Ghana,2020,84,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Greece,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Grenada,2020,95.3,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Guatemala,2020,86.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Guinea,2020,67.4,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Guinea-Bissau,2020,60.3,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Guyana,2020,98.3,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Haiti,2020,47.6,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Honduras,2020,83.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Hungary,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Iceland,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),India,2020,92.6,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Indonesia,2020,79.5,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Iran (Islamic Republic of),2020,92.1,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Iraq,2020,70.1,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Ireland,2020,97.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Israel,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Italy,2020,100,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Jamaica,2020,89.4,%,I,FALSE
