,Subgroup,Variable,Area,Year,Value,Unit
7592,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2020,30.61380683,%
7593,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Albania,2020,1.804635762,%
7594,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Algeria,2020,57.17836633,%
7595,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Angola,2020,0.098854447,%
7596,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Antigua and Barbuda,2020,3.461538461,%
7597,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Argentina,2020,3.187482881,%
7598,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Armenia,2020,25.61462222,%
7599,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Australia,2020,1.741089685,%
7600,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Australia and New Zealand,2020,1.437504426,%
7601,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Austria,2020,0.099227799,%
7602,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Azerbaijan,2020,33.49387167,%
7603,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bahrain,2020,124.7413793,%
7604,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bangladesh,2020,2.567170212,%
7605,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Barbados,2020,68.5,%
7606,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belarus,2020,0.633851468,%
7607,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belgium,2020,0.296851803,%
7608,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belize,2020,0.314714273,%
7609,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Benin,2020,0.223569534,%
7610,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bhutan,2020,0.407692308,%
7611,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bolivia (Plurinational State of),2020,0.334494774,%
7612,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Botswana,2020,0.665601307,%
7613,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Brazil,2020,0.479010061,%
7614,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Brunei Darussalam,2020,0.062352941,%
7615,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bulgaria,2020,3.563380282,%
7616,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Burkina Faso,2020,3.116296296,%
7617,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Burundi,2020,1.770899809,%
7618,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cabo Verde,2020,8.333333333,%
7619,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cambodia,2020,0.43121193,%
7620,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cameroon,2020,0.260286067,%
7621,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Canada,2020,0.132977257,%
7622,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Central African Republic,2020,0.000283688,%
7623,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Central Asia,2020,43.8715995,%
7624,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Central and Southern Asia,2020,41.47159699,%
7625,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Chad,2020,1.470897155,%
7626,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Chile,2020,3.187225099,%
7627,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,China,2020,12.71873306,%
7628,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Colombia,2020,1.060814251,%
7629,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Comoros,2020,0.391666667,%
7630,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Congo,2020,0.000480769,%
7631,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Costa Rica,2020,1.836300021,%
7632,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Croatia,2020,0.072037915,%
7633,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cuba,2020,11.85466947,%
7634,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cyprus,2020,22.05128205,%
7635,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Czechia,2020,0.296577947,%
7636,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Côte d'Ivoire,2020,0.713097219,%
7637,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Democratic People's Republic of Korea,2020,8.567725211,%
7638,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Democratic Republic of the Congo,2020,0.005604053,%
7639,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Denmark,2020,8.788933333,%
7640,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Djibouti,2020,1.0,%
7641,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Dominica,2020,0.5,%
7642,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Dominican Republic,2020,32.18297872,%
7643,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eastern Asia,2020,12.7684758,%
7644,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eastern and South-Eastern Asia,2020,10.28029473,%
7645,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ecuador,2020,1.825497287,%
7646,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2020,106.6956522,%
7647,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2020,5.447278264,%
7648,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2020,0.003846154,%
7649,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2020,7.518796993,%
7650,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2020,0.037925652,%
7651,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2020,22.3059867,%
7652,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2020,7.940163934,%
