,Subgroup,Variable,Area,Year,Value,Unit
6406,Total renewable water resources,Dependency ratio,Afghanistan,2020,28.72260015,%
6407,Total renewable water resources,Dependency ratio,Albania,2020,10.92715232,%
6408,Total renewable water resources,Dependency ratio,Algeria,2020,3.599897146,%
6409,Total renewable water resources,Dependency ratio,Angola,2020,0.269541779,%
6410,Total renewable water resources,Dependency ratio,Antigua and Barbuda,2020,0.0,%
6411,Total renewable water resources,Dependency ratio,Argentina,2020,66.67579659,%
6412,Total renewable water resources,Dependency ratio,Armenia,2020,11.7132192,%
6413,Total renewable water resources,Dependency ratio,Australia,2020,0.0,%
6414,Total renewable water resources,Dependency ratio,Austria,2020,29.21492922,%
6415,Total renewable water resources,Dependency ratio,Azerbaijan,2020,76.59697188,%
6416,Total renewable water resources,Dependency ratio,Bahamas,2020,0.0,%
6417,Total renewable water resources,Dependency ratio,Bahrain,2020,96.55172414,%
6418,Total renewable water resources,Dependency ratio,Bangladesh,2020,91.44276596,%
6419,Total renewable water resources,Dependency ratio,Barbados,2020,0.0,%
6420,Total renewable water resources,Dependency ratio,Belarus,2020,41.27806563,%
6421,Total renewable water resources,Dependency ratio,Belgium,2020,34.42622951,%
6422,Total renewable water resources,Dependency ratio,Belize,2020,29.78742983,%
6423,Total renewable water resources,Dependency ratio,Benin,2020,60.97006442,%
6424,Total renewable water resources,Dependency ratio,Bhutan,2020,0.0,%
6425,Total renewable water resources,Dependency ratio,Bolivia (Plurinational State of),2020,47.12543554,%
6426,Total renewable water resources,Dependency ratio,Bosnia and Herzegovina,2020,5.333333333,%
6427,Total renewable water resources,Dependency ratio,Botswana,2020,80.39215686,%
6428,Total renewable water resources,Dependency ratio,Brazil,2020,34.5322077,%
6429,Total renewable water resources,Dependency ratio,Brunei Darussalam,2020,0.0,%
6430,Total renewable water resources,Dependency ratio,Bulgaria,2020,1.408450704,%
6431,Total renewable water resources,Dependency ratio,Burkina Faso,2020,7.407407407,%
6432,Total renewable water resources,Dependency ratio,Burundi,2020,19.75111678,%
